id,zipcode,floors,housetype,garage,lotarea,livingarea,Nbathroom,yearbuilt,yrremodeled,yearsale,monthsale,price
1353,27133,2,Town,,832,1414,2,1982,,2004,4,195500
1354,27127,1,Bungalow,,882,715,1,1982,,2001,11,111000
1355,27127,2,Cottage,,1583,2185,1,1976,,2002,2,241500
1356,27127,2,Farm,,916,1261,1,1979,,2001,11,155500
1357,27133,1,Bungalow,,1212,970,1,1978,,2003,1,148000
1358,27127,2,Cottage,,1257,1862,2,1962,,2002,3,171000
1359,27137,2,Detached,,977,1495,2,1962,,2000,11,235000
1360,27131,2,Detached,,764,1018,3,1969,1984,2002,1,201500
1361,27133,1,Bungalow,,1461,993,1,1975,,2003,9,149000
1362,27137,2,Detached,253,2501,2381,2,1987,,1999,1,564500
1363,27131,2,Farm,192,2253,2314,2,1977,,2004,1,452000
1364,27121,3,Detached,,1210,1826,3,1973,,1999,2,355500
1365,27131,3,Detached,,1452,2830,3,1984,,1996,6,512500
1366,27119,2,Town,201,2248,2780,2,1988,,2003,10,694500
1367,27137,2,Detached,255,2346,2153,2,1988,,2002,7,521500
1368,27131,2,Town,,1544,1730,2,1988,,2003,7,433000
1369,27134,2,Detached,198,1960,2549,3,1989,,1995,10,548000
1370,27133,3,Detached,,1553,2568,3,1971,,1995,1,422000
1371,27127,2,Farm,,1214,2072,2,1980,,2004,3,245000
1372,27119,2,Cottage,,1362,1613,1,1980,,2001,7,345000
1373,27115,3,Cottage,408,2787,4849,3,1968,,2000,6,959500
1374,27137,3,Ranch,298,2340,4232,3,1988,,1999,7,965000
1375,27134,2,Detached,220,2103,2214,3,1977,,1997,9,376500
1376,27119,2,Ranch,286,2223,2910,2,1970,,2000,2,470500
1377,27121,2,Detached,,1037,1560,2,1973,,1996,1,297000
1378,27134,2,Detached,,927,1420,1,1970,,1997,1,189500
1379,27134,2,Town,,1223,1996,2,1983,,2004,3,280000
1380,27131,2,Farm,,2118,2610,2,1974,,1995,4,457500
1381,27134,2,Detached,210,1723,2272,1,1971,,1998,4,357500
1382,27137,2,Farm,,1601,1591,2,1978,,1997,9,302000
1383,27121,2,Cottage,308,3024,2414,2,1971,,1996,12,586500
1384,27119,2,Farm,,1146,1496,2,1965,1988,1996,12,269000
1385,27131,2,Town,,1654,2051,3,1967,,1995,11,342500
1386,27131,2,Farm,314,2024,2631,2,1972,,1998,8,441500
1387,27134,2,Town,281,2643,2748,1,1977,,1999,4,485000
1388,27119,2,Detached,214,2564,2543,2,1978,,1996,8,482000
1389,27121,2,Detached,,1999,2189,1,1983,,1998,2,511000
1390,27134,1,Bungalow,,1337,883,1,1963,1982,2004,3,138000
1391,27131,2,Cottage,,1962,2004,2,1973,,2002,10,359500
1392,27137,2,Detached,,1430,1580,2,1966,1979,1995,5,273000
1393,27134,3,Ranch,212,2117,3720,3,1975,,1997,3,581000
1394,27119,2,Town,,1210,1797,2,1968,1981,2001,3,314000
1395,27133,2,Detached,,903,1230,2,1981,,1997,10,253000
1396,27121,3,Detached,258,3226,4530,3,1960,1976,1999,3,838500
1397,27131,2,Detached,198,1898,2629,2,1976,,2002,12,493500
1398,27137,3,Detached,,1351,2020,3,1975,,1998,12,380500
1399,27137,2,Farm,293,2957,2874,2,1984,,1998,11,694500
1400,27137,1,Bungalow,197,2083,946,1,1961,1986,2000,7,232500
1401,27134,3,Detached,,1007,2356,3,1987,,1997,4,399000
1402,27131,3,Cottage,193,1762,3149,3,1982,,2001,4,571500
1403,27133,2,Ranch,,1152,1830,1,1979,,2000,3,226500
1404,27127,1,Bungalow,,1046,820,1,1974,,2004,12,113000
1405,27133,2,Ranch,,729,1177,2,1970,,1999,12,124500
1406,27131,2,Farm,,1357,1550,1,1977,,2000,12,292500
1407,27133,1,Bungalow,,1428,1045,1,1984,,2001,1,171500
1408,27134,2,Ranch,,894,1452,1,1962,,2002,8,153500
1409,27137,2,Cottage,,2090,2259,2,1963,1976,1999,4,417000
1410,27121,1,Bungalow,275,3736,1633,1,1966,1988,1997,9,478000
1411,27137,1,Bungalow,,973,551,1,1989,,2004,9,175500
1412,27133,2,Town,,1011,1498,2,1981,,1995,10,309000
1413,27127,2,Farm,,811,1253,1,1987,,1998,8,167500
1414,27134,1,Bungalow,,1356,1048,1,1969,,2000,10,135500
1415,27134,3,Ranch,,983,2273,3,1961,1978,1996,5,295500
1416,27127,1,Bungalow,,940,639,1,1989,,2004,11,120500
1417,27134,2,Town,233,2442,2564,2,1978,,1997,4,437500
1418,27137,2,Farm,,1005,1293,1,1972,,1998,8,209500
1419,27133,2,Ranch,,1010,1372,2,1972,,2002,7,169000
1420,27119,2,Farm,,798,1107,2,1968,,2000,2,188500
1421,27127,2,Cottage,,943,1299,2,1972,1989,2004,12,163500
1422,27119,2,Detached,284,2986,2921,2,1972,1986,2004,5,625500
1423,27137,2,Cottage,,1269,1956,2,1987,,1999,12,400000
1424,27121,1,Bungalow,311,2615,1312,1,1970,1984,1999,11,376500
1425,27119,2,Town,,1349,2074,2,1973,,2004,6,363500
1426,27134,2,Farm,,2021,2363,1,1979,,1998,5,399000
1427,27119,2,Cottage,254,2879,2882,2,1978,,2004,6,641500
1428,27119,3,Detached,202,2543,3488,3,1989,,2004,4,838000
1429,27133,2,Detached,244,2062,1979,2,1962,1984,1996,2,375500
1430,27137,1,Bungalow,,1089,793,1,1984,,2004,3,205000
1431,27131,2,Town,,1356,1571,2,1969,1988,1998,7,307500
1432,27133,3,Cottage,,1765,2762,3,1965,,1997,6,459000
1433,27115,2,Detached,415,2572,3040,1,1962,,1998,12,573500
1434,27137,1,Bungalow,263,1831,1104,1,1989,,1998,2,345000
1435,27137,2,Detached,,1070,1343,2,1983,,1999,2,273000
1436,27127,2,Farm,,869,1315,2,1988,,2003,6,178000
1437,27133,2,Farm,,906,1521,2,1968,,2004,1,173000
1438,27137,2,Detached,192,2109,2133,2,1983,,2002,11,484000
1439,27137,3,Town,,1237,2015,3,1973,,2002,1,320000
1440,27133,1,Bungalow,,1585,1047,1,1963,1985,2001,9,159000
1441,27134,2,Detached,,1467,2391,2,1961,,2002,6,231500
1442,27133,2,Cottage,,1428,1454,1,1976,,1995,12,289500
1443,27119,1,Bungalow,,843,557,1,1968,,1997,2,108000
1444,27119,2,Farm,,1126,1135,3,1971,,2003,7,218000
1445,27133,2,Detached,,1288,1790,2,1966,,1998,2,280000
1446,27121,2,Cottage,205,1377,1558,2,1972,,2001,10,360000
1447,27134,2,Farm,,1369,1968,2,1966,1986,2003,11,242000
1448,27119,1,Bungalow,,1133,759,1,1972,,2002,2,162000
1449,27137,2,Detached,,911,1445,3,1976,,1999,5,253500
1450,27137,3,Detached,299,2225,4192,3,1968,,1999,6,611000
1451,27134,2,Town,,1083,1425,2,1981,,2002,3,200000
1452,27131,3,Cottage,255,2948,4131,3,1970,,1999,6,704000
1453,27115,3,Ranch,471,2591,4496,3,1985,,2002,2,1249500
1454,27137,2,Detached,,1292,1389,2,1970,1989,2002,5,290500
1455,27131,2,Town,,946,1419,2,1987,,2002,5,334500
1456,27119,2,Detached,,1511,2341,2,1969,1983,1995,6,396000
1457,27133,2,Town,,1121,1869,2,1973,,1999,12,225500
1458,27115,3,Detached,268,3643,4760,3,1960,,1998,9,927500
1459,27115,3,Cottage,250,3121,3427,3,1985,,2001,4,1002500
1460,27134,2,Cottage,,893,1401,2,1977,,2004,9,176000
1461,27134,2,Ranch,,1588,2069,2,1975,,2003,6,253000
1462,27127,1,Bungalow,,1529,1052,1,1962,1975,1999,10,132500
1463,27137,1,Bungalow,,903,557,1,1971,,1996,6,112500
1464,27127,1,Bungalow,,1035,836,1,1978,,1998,6,111500
1465,27134,1,Bungalow,,862,658,1,1978,,2004,8,106500
1466,27119,3,Cottage,,1190,1976,3,1982,,2004,6,401500
1467,27131,1,Bungalow,,1368,719,1,1976,,1998,12,187500
1468,27127,2,Cottage,,717,1068,1,1970,,1997,1,108500
1469,27134,2,Farm,,1172,1965,2,1964,,2003,7,209000
1470,27137,3,Detached,,1118,1913,3,1981,,2002,9,376000
1471,27127,2,Cottage,,1423,1926,1,1988,,1996,10,287000
1472,27137,2,Detached,211,2760,2501,3,1979,,1999,10,554500
1473,27134,2,Town,,1679,2259,2,1984,,2001,7,333000
1474,27127,2,Farm,,672,1026,2,1967,,2004,1,107000
1475,27119,2,Town,,842,1295,2,1971,,2004,6,234500
1476,27115,1,Bungalow,382,2136,1347,1,1969,,1996,12,331500
1477,27137,2,Farm,,1269,1905,2,1961,1980,2001,7,301500
1478,27127,2,Detached,,1197,1643,2,1983,,1999,11,210500
1479,27133,2,Detached,,996,1474,2,1975,,2000,3,181500
1480,27133,1,Bungalow,202,1919,1095,1,1979,,1995,4,307500
1481,27137,2,Farm,,824,1147,2,1970,,1999,2,201500
1482,27121,2,Detached,277,3077,2517,1,1989,,2004,6,805500
1483,27133,3,Detached,,2036,3244,3,1970,,1998,5,561000
1484,27133,2,Farm,,863,1247,2,1961,1983,1998,6,206500
1485,27137,3,Detached,,1316,2062,3,1973,,2001,4,362000
1486,27131,2,Detached,,1059,1315,2,1963,1984,2002,10,239000
1487,27115,2,Detached,454,3587,2936,2,1989,,1996,2,894500
1488,27131,2,Town,245,2306,2223,1,1982,,1999,1,475500
1489,27115,1,Bungalow,,1622,875,1,1977,,2003,11,293500
1490,27137,1,Bungalow,226,2983,1446,1,1975,,1997,4,384500
1491,27133,1,Bungalow,,1458,1174,1,1966,1982,2003,12,176500
1492,27134,2,Cottage,200,1953,2310,2,1988,,1999,2,492500
1493,27131,1,Bungalow,269,2676,1284,1,1966,1978,1998,2,301500
1494,27137,1,Bungalow,274,1899,1301,1,1971,,1998,12,267000
1495,27119,2,Cottage,,936,1431,2,1980,,2003,11,266500
1496,27127,2,Cottage,,903,1246,1,1984,,2001,12,166000
1497,27134,1,Bungalow,,830,648,1,1977,,2004,6,95500
1498,27134,1,Bungalow,,1860,1048,1,1984,,1999,1,265500
1499,27134,2,Farm,,1609,2282,1,1988,,1998,1,440500
1500,27119,3,Detached,198,1670,2694,3,1968,,2003,11,436000
1501,27119,2,Cottage,,1036,1464,2,1971,,1996,7,238000
1502,27119,3,Ranch,,894,1821,3,1980,,2003,7,324000
1503,27119,2,Town,,2153,2517,2,1977,,2002,6,505000
1504,27131,2,Town,,806,1288,2,1962,1985,1996,11,221500
1505,27127,1,Bungalow,,1123,851,1,1975,,2003,2,113000
1506,27137,2,Detached,232,2731,2482,1,1973,1985,1996,1,551000
1507,27119,2,Cottage,219,2338,2654,3,1971,,2000,5,448000
1508,27134,2,Cottage,,779,1104,3,1975,,1998,11,177000
1509,27115,2,Detached,500,2926,3488,2,1973,,2000,4,821500
1510,27119,2,Farm,233,2624,2838,2,1976,,2003,3,541000
1511,27127,2,Farm,,851,1214,1,1970,,2001,12,133000
1512,27137,2,Detached,,938,1289,1,1987,,1995,7,265000
1513,27133,3,Ranch,,791,1569,3,1982,,1995,6,318500
1514,27133,3,Town,,2627,3839,3,1965,,1996,1,623500
1515,27134,2,Detached,,1236,1434,3,1985,,1995,4,284500
1516,27115,2,Town,267,1592,1834,2,1979,,1998,3,443500
1517,27131,1,Bungalow,,1268,652,1,1977,,2002,9,180500
1518,27121,3,Cottage,398,2435,4246,3,1960,1983,1997,10,822500
1519,27119,1,Bungalow,,1699,952,1,1983,,2000,9,282500
1520,27134,2,Town,203,1825,2517,3,1964,,1998,6,357500
1521,27133,1,Bungalow,,1042,744,1,1962,1983,2002,4,106500
1522,27137,2,Detached,215,2003,1958,2,1972,,2004,7,386000
1523,27115,3,Detached,252,2418,2898,3,1967,,1998,10,592000
1524,27134,1,Bungalow,,953,531,1,1961,,1999,2,86500
1525,27131,1,Bungalow,,1811,1161,1,1960,,2000,9,226000
1526,27131,3,Detached,,1499,2768,3,1982,,2002,5,539500
1527,27119,2,Ranch,216,1819,2054,2,1980,,1995,3,382000
1528,27131,2,Detached,,1736,1807,2,1983,,1999,11,409000
1529,27119,2,Detached,,1587,1878,3,1979,,2003,8,356000
1530,27131,3,Detached,299,3175,4303,3,1975,,1997,8,816000
1531,27134,2,Town,,1769,2581,2,1968,1985,1997,7,409000
1532,27119,2,Cottage,,775,1091,2,1984,,1998,6,217000
1533,27137,2,Cottage,311,3031,2995,2,1981,,1999,8,640500
1534,27133,2,Cottage,,1758,2332,2,1969,1984,1999,12,296500
1535,27131,1,Bungalow,278,2527,1294,1,1971,,2001,10,330000
1536,27131,3,Cottage,,1185,2639,3,1965,,1996,1,347000
1537,27115,3,Detached,385,2455,3587,3,1989,,2001,6,1048500
1538,27137,3,Cottage,,1971,3287,3,1981,,2003,12,685000
1539,27134,2,Farm,,1106,1561,2,1974,,1999,11,189000
1540,27119,2,Cottage,,705,1125,1,1970,,2004,12,205500
1541,27137,2,Town,208,2564,2493,2,1971,,1999,2,447000
1542,27115,2,Detached,476,4239,3224,2,1989,,2004,9,1243000
1543,27137,1,Bungalow,,1078,540,1,1973,,2003,9,135500
1544,27121,1,Bungalow,,977,573,1,1974,,1997,5,165000
1545,27121,2,Cottage,,1119,1491,1,1983,,1997,8,355500
1546,27119,2,Town,,1766,1776,2,1960,1972,2000,10,302000
1547,27137,2,Detached,219,2454,2378,1,1961,1980,1998,6,437000
1548,27127,2,Farm,,880,1193,2,1979,,1999,6,145000
1549,27137,2,Detached,,965,1474,2,1982,,2003,6,315500
1550,27137,2,Town,,941,1107,3,1977,,1996,8,202000
1551,27137,2,Town,,1271,1417,2,1971,1983,1998,9,260000
1552,27119,1,Bungalow,219,1833,985,1,1984,,2000,12,272500
1553,27127,1,Bungalow,,791,543,1,1963,1977,1997,4,69000
1554,27133,1,Bungalow,198,1404,860,1,1972,,1998,3,211000
1555,27133,3,Detached,,714,1686,3,1988,,1996,9,389000
1556,27133,2,Town,330,2704,2801,2,1961,1980,1998,2,554500
1557,27133,3,Detached,323,3307,4649,3,1980,,1999,2,945500
1558,27133,2,Cottage,321,2743,2877,3,1981,,1996,2,589500
1559,27134,2,Town,,1658,1849,2,1962,1984,1998,11,309500
1560,27134,2,Detached,,1521,2048,2,1976,,2003,1,257000
1561,27119,2,Detached,258,2198,2892,2,1970,1985,1999,9,578000
1562,27127,2,Cottage,,932,1480,2,1986,,2001,9,204000
1563,27134,2,Town,,896,1321,2,1964,1978,2003,7,161000
1564,27121,3,Detached,306,3385,3974,3,1966,,2003,2,746000
1565,27137,1,Bungalow,,1272,665,1,1989,,2003,5,212000
1566,27133,2,Town,,798,1120,1,1970,,2001,9,131500
1567,27133,2,Detached,,1264,1330,2,1983,,1999,1,320000
1568,27133,2,Farm,,1266,1540,1,1967,,1997,5,281500
1569,27131,1,Bungalow,,1565,1146,1,1964,,2003,8,231500
1570,27127,2,Farm,,1359,1848,2,1963,1980,2002,6,212000
1571,27127,2,Farm,,1382,2219,2,1964,1977,2003,4,241500
1572,27137,2,Detached,,834,1235,2,1969,1982,2001,12,236000
1573,27127,2,Farm,,667,1038,2,1979,,1996,12,124000
1574,27131,2,Cottage,,1240,1503,3,1986,,2004,8,345000
1575,27121,2,Detached,227,1973,2598,2,1982,,1998,7,661000
1576,27133,1,Bungalow,,674,526,1,1967,,1999,1,101000
1577,27134,2,Farm,,1336,1843,3,1965,1989,1995,1,278000
1578,27119,3,Town,246,1906,3105,3,1980,,1997,10,546000
1579,27137,1,Bungalow,,1093,834,1,1966,1981,1995,8,180500
1580,27137,1,Bungalow,,1521,1121,1,1962,,2002,10,192500
1581,27119,3,Cottage,268,2659,3621,3,1970,,2002,2,626000
1582,27127,2,Farm,,1125,1721,2,1969,,1997,7,166500
1583,27121,2,Farm,,1171,1301,2,1977,,2002,12,301000
1584,27133,1,Bungalow,,1484,1116,1,1968,,2000,8,155000
1585,27133,2,Cottage,,1803,1727,3,1974,,1998,9,380000
1586,27134,1,Bungalow,,1473,963,1,1987,,1998,3,244500
1587,27121,2,Detached,216,1809,1810,1,1976,,1995,8,434000
1588,27134,2,Farm,233,1763,2427,2,1983,,1995,9,465500
1589,27133,2,Farm,194,2362,2119,2,1988,,1998,1,513500
1590,27119,3,Town,311,2367,4402,3,1969,,1995,5,680500
1591,27119,2,Detached,,834,1078,2,1966,,1997,11,163500
1592,27131,2,Detached,,1538,2216,2,1968,1987,1997,9,381500
1593,27133,2,Detached,,2322,2376,2,1986,,1998,9,607000
1594,27121,3,Detached,232,2728,4262,3,1983,,2001,7,1038000
1595,27131,3,Detached,,2261,3908,3,1986,,2003,9,842500
1596,27133,2,Town,,735,1230,2,1961,1982,2002,8,143000
1597,27119,3,Detached,235,2119,3845,3,1988,,2003,11,813500
1598,27133,1,Bungalow,,1705,1197,1,1984,,2002,4,212500
1599,27127,2,Cottage,,898,1468,2,1963,,2002,9,135000
1600,27131,1,Bungalow,,931,711,1,1969,1986,1995,3,145500
1601,27137,2,Detached,241,1920,2238,2,1969,1989,2002,8,472000
1602,27134,2,Detached,,1602,2265,2,1977,,2003,5,286500
1603,27119,2,Detached,279,2647,2807,2,1988,,2001,11,728500
1604,27131,2,Cottage,,1294,1274,2,1977,,1997,8,250500
1605,27137,2,Ranch,277,2548,2712,2,1978,,1995,1,511000
1606,27133,1,Bungalow,,1009,557,1,1962,,1995,1,118000
1607,27131,3,Detached,,1308,3061,3,1982,,1996,5,565000
1608,27127,2,Detached,,1167,1983,2,1984,,2002,3,244500
1609,27115,1,Bungalow,500,4029,1744,1,1960,1972,2003,4,569500
1610,27115,2,Detached,324,3899,3499,1,1966,1981,1999,3,813500
1611,27133,2,Farm,,1139,1886,2,1978,,2000,1,242000
1612,27127,2,Farm,,936,1605,1,1981,,1996,11,200000
1613,27131,2,Detached,299,2595,2790,3,1970,1988,2001,6,600000
1614,27119,2,Cottage,253,2445,2670,2,1972,,2001,7,522500
1615,27134,2,Ranch,,1193,1827,2,1965,1988,2003,3,238500
1616,27133,2,Town,,1588,2217,2,1971,,1999,10,257000
1617,27134,1,Bungalow,194,1466,975,1,1975,,1997,7,185000
1618,27131,3,Detached,220,2023,2811,3,1977,,1997,10,491000
1619,27137,1,Bungalow,218,1622,907,1,1965,,2003,5,190000
1620,27119,2,Detached,,2162,2390,2,1965,1983,2001,10,474000
1621,27127,2,Farm,,1692,2274,2,1976,,1996,1,250000
1622,27134,1,Bungalow,,1172,935,1,1961,,1999,8,113000
1623,27119,2,Detached,255,3003,2715,2,1979,,1996,10,605500
1624,27133,3,Detached,199,1777,2374,3,1962,1984,1996,8,404000
1625,27131,3,Town,270,2295,3388,3,1981,,2001,6,644500
1626,27127,2,Detached,,1325,2101,2,1986,,1996,9,266500
1627,27137,2,Detached,215,1739,2253,2,1975,1988,2004,9,462500
1628,27115,2,Detached,463,4529,3481,2,1961,,1997,6,818000
1629,27134,2,Detached,,1155,1933,2,1982,,2004,12,273000
1630,27133,2,Farm,,1051,1614,2,1960,1981,2004,3,187500
1631,27133,3,Ranch,,1697,2814,3,1971,,1997,3,475500
1632,27131,2,Cottage,,868,1251,2,1987,,2000,10,259000
1633,27131,2,Cottage,,855,1067,3,1979,,1996,10,221500
1634,27131,3,Cottage,,1577,3253,3,1973,,1996,6,477000
1635,27133,1,Bungalow,,868,683,1,1960,1983,1996,1,148000
1636,27133,1,Bungalow,,1137,795,1,1964,,2004,2,111500
1637,27134,2,Detached,,917,1369,2,1982,,2002,4,191000
1638,27127,1,Bungalow,,898,703,1,1977,,2004,6,100000
1639,27119,1,Bungalow,246,1868,1073,1,1986,,1995,8,303000
1640,27133,2,Farm,,1550,2108,2,1962,,2003,10,227000
1641,27131,1,Bungalow,192,1620,802,1,1963,1977,2002,5,202000
1642,27119,2,Cottage,,1133,1342,1,1974,1987,2004,11,305000
1643,27137,2,Town,,1331,2141,3,1967,,1995,9,304000
1644,27119,1,Bungalow,287,2605,1383,1,1979,,1997,9,337000
1645,27133,2,Farm,,1386,2074,1,1977,,2003,6,254000
1646,27133,1,Bungalow,,820,610,1,1965,1981,2000,10,87000
1647,27119,3,Detached,,1034,1619,3,1970,,2002,11,258000
1648,27127,1,Bungalow,,1197,934,1,1965,,2003,8,113000
1649,27119,2,Detached,246,3032,2836,3,1965,1978,1995,9,544000
1650,27119,2,Detached,206,2576,2395,2,1966,1978,2002,6,479500
1651,27127,2,Farm,,1225,1736,2,1972,,2001,1,191500
1652,27127,2,Cottage,,737,1099,1,1986,,2004,3,157000
1653,27121,1,Bungalow,387,2519,1453,1,1980,,1997,9,444000
1654,27115,2,Town,265,1846,2123,1,1965,1984,1996,10,462500
1655,27137,2,Cottage,,1180,1620,1,1978,,2004,11,338000
1656,27137,2,Detached,230,2252,2214,2,1979,,1997,5,442500
1657,27133,1,Bungalow,,1382,942,1,1963,,2004,12,126000
1658,27133,2,Farm,223,1937,1976,2,1989,,1996,12,512000
1659,27131,2,Cottage,,1246,1940,3,1979,,1997,9,369000
1660,27134,1,Bungalow,,819,539,1,1979,,1997,2,110000
1661,27115,1,Bungalow,350,3084,1716,1,1964,,1997,12,419500
1662,27119,1,Bungalow,192,1600,935,1,1966,,1998,10,204000
1663,27134,2,Town,,808,1294,2,1971,,2001,2,150500
1664,27133,1,Bungalow,256,2348,1271,1,1973,,1995,5,326500
1665,27137,2,Farm,,1090,1183,3,1989,,2001,11,294500
1666,27134,2,Farm,,1181,1664,2,1976,,2003,1,199500
1667,27119,2,Detached,253,2652,2611,2,1965,,2001,4,465000
1668,27119,2,Cottage,203,1982,1789,1,1961,1978,1998,6,309500
1669,27127,2,Farm,,787,1232,2,1982,,2003,5,150000
1670,27127,2,Farm,,816,1140,2,1961,1982,2002,11,127000
1671,27134,1,Bungalow,,906,731,1,1983,,1998,8,154500
1672,27127,2,Farm,,810,1261,2,1982,,2004,1,152000
1673,27131,2,Town,,1257,1307,1,1981,,1995,7,272500
1674,27137,2,Detached,,1399,2223,2,1986,,2000,1,487000
1675,27134,2,Farm,,1514,2162,2,1973,,2000,5,246500
1676,27127,1,Bungalow,,1256,1036,1,1984,,2001,7,162500
1677,27131,2,Cottage,226,3210,2977,2,1984,,1995,5,677000
1678,27134,2,Ranch,,1073,1766,2,1966,1985,2001,11,225000
1679,27131,2,Detached,,744,1196,2,1983,,1998,9,250500
1680,27115,3,Ranch,,798,1525,3,1976,,2000,6,317000
1681,27121,2,Detached,276,2813,3241,1,1979,,2004,3,791000
1682,27119,2,Detached,,1845,1812,3,1962,,1998,6,307000
1683,27115,3,Cottage,,1469,2333,3,1972,,2000,8,464000
1684,27119,1,Bungalow,,1092,659,1,1962,1982,1996,8,140000
1685,27134,1,Bungalow,,1425,1089,1,1978,,2000,9,170000
1686,27127,2,Cottage,,1041,1433,2,1976,,1999,11,163500
1687,27134,2,Cottage,,1419,2076,1,1975,,2003,1,259500
1688,27115,2,Detached,233,2545,2623,2,1986,,1995,10,730500
1689,27131,2,Detached,201,2566,2566,2,1978,,2004,5,543500
1690,27137,1,Bungalow,,1085,704,1,1977,,2004,10,163500
1691,27133,1,Bungalow,,799,537,1,1972,,1997,2,118500
1692,27121,2,Detached,221,1691,1800,1,1960,,1997,10,302500
1693,27121,1,Bungalow,255,2333,1617,1,1969,1981,1998,3,376500
1694,27115,3,Detached,193,1860,3475,3,1980,,2003,12,839500
1695,27115,3,Detached,,802,1643,3,1973,1985,2004,1,399000
1696,27137,1,Bungalow,,1279,742,1,1975,,2002,4,170500
1697,27121,2,Detached,,1623,2392,2,1989,,2001,3,591500
1698,27127,2,Farm,,893,1416,2,1967,1989,1997,2,153000
1699,27137,3,Detached,,1276,2630,3,1961,,1999,3,357000
1700,27119,2,Detached,,1965,2053,1,1987,,1998,3,470500
1701,27134,2,Detached,,1308,2148,1,1962,,2000,12,225500
1702,27137,1,Bungalow,,1357,744,1,1962,1988,1995,9,178000
1703,27127,2,Cottage,,1576,2115,2,1968,1988,2004,5,249500
1704,27134,2,Cottage,,717,1100,2,1967,1980,2002,1,131000
1705,27134,1,Bungalow,,1150,976,1,1975,,2004,5,144500
1706,27133,2,Detached,,1550,1914,2,1964,,1997,8,319000
1707,27119,2,Detached,,1235,1583,2,1978,,2004,11,314000
1708,27127,1,Bungalow,,693,589,1,1977,,1999,6,81500
1709,27115,3,Detached,268,3579,3899,3,1969,1987,1999,7,906000
1710,27137,2,Detached,,1825,1955,2,1964,1983,1999,1,345500
1711,27121,2,Detached,259,1998,2176,2,1988,,2002,7,651500
1712,27121,2,Detached,195,3044,2698,2,1960,1973,1999,6,577000
1713,27131,1,Bungalow,,1567,783,1,1980,,1999,9,213500
1714,27127,2,Cottage,,816,1175,2,1989,,1996,1,172000
1715,27127,2,Farm,,942,1547,2,1971,,1998,12,165500
1716,27133,2,Ranch,,1030,1415,2,1981,,2002,8,193500
1717,27133,3,Cottage,279,1858,3336,3,1961,1982,1998,7,583500
1718,27127,2,Detached,,1423,2141,2,1977,,2002,4,245000
1719,27127,2,Detached,,1093,1717,2,1984,,2001,4,226500
1720,27119,3,Detached,284,2354,3579,3,1974,,2000,6,656000
1721,27134,1,Bungalow,,1224,982,1,1988,,1996,3,215500
1722,27133,2,Cottage,,1535,2396,2,1973,,2003,1,279500
1723,27133,2,Detached,215,1735,1795,2,1983,,1997,3,436000
1724,27119,2,Detached,256,1735,2252,2,1976,,1996,12,396000
1725,27137,3,Detached,208,2723,3877,3,1980,,1995,8,767500
1726,27137,3,Detached,,1290,2274,3,1982,,1996,5,437000
1727,27131,1,Bungalow,203,2183,1170,1,1965,1986,2000,1,301500
1728,27115,1,Bungalow,,959,619,1,1978,,1999,8,200000
1729,27115,2,Cottage,356,3177,2324,2,1965,1984,2003,4,672500
1730,27134,1,Bungalow,,1010,682,1,1976,,2000,6,108500
1731,27119,2,Cottage,,1169,1443,2,1964,1978,2000,3,240500
1732,27119,2,Ranch,203,1602,2125,2,1966,1987,2001,9,396500
1733,27134,3,Ranch,,2235,4092,3,1977,,1996,10,616000
1734,27133,2,Town,,980,1575,2,1967,1987,2002,8,196000
1735,27131,2,Town,255,1813,2283,3,1975,,1997,7,419000
1736,27133,2,Cottage,,1328,1854,2,1960,1973,2002,5,197500
1737,27115,1,Bungalow,314,1676,1018,1,1973,,1995,10,265000
1738,27134,2,Town,,1250,1779,2,1963,1977,1996,7,262000
1739,27133,2,Cottage,,1399,1982,1,1974,,1997,2,330000
1740,27119,3,Detached,,1349,2507,3,1985,,2004,10,499500
1741,27133,2,Detached,,1081,1387,2,1982,,1999,1,280000
1742,27133,2,Town,,1072,1587,1,1982,,2000,9,217500
1743,27134,2,Town,,876,1289,2,1970,,2001,7,143500
1744,27115,2,Cottage,207,3254,2468,3,1962,1980,1999,10,656000
1745,27134,1,Bungalow,,1253,988,1,1961,1982,2004,8,140000
1746,27119,2,Ranch,,1678,1983,2,1969,1982,1998,7,350500
1747,27131,2,Town,,2119,2334,2,1977,,2004,3,479000
1748,27134,3,Ranch,,824,1860,3,1970,,1996,1,232000
1749,27137,2,Cottage,259,3126,2848,3,1981,,1997,6,649000
1750,27115,2,Town,357,3326,3042,2,1978,,2003,8,868000
1751,27137,2,Cottage,212,2012,2216,1,1964,1987,1998,1,437500
1752,27119,2,Detached,,2093,2440,2,1960,1977,1997,1,383500
1753,27119,2,Detached,,740,1139,3,1961,,2001,4,155500
1754,27119,2,Ranch,,818,1228,2,1964,,2004,6,193500
1755,27119,2,Cottage,229,2141,1997,2,1961,,1998,2,315000
1756,27131,2,Detached,,1660,2044,2,1963,,1995,12,328000
1757,27134,2,Town,,1165,1618,1,1981,,2002,10,220500
1758,27119,1,Bungalow,,1059,705,1,1971,,2000,6,156500
1759,27137,3,Cottage,,1935,2970,3,1975,1987,1998,3,601500
1760,27134,2,Detached,,803,1215,2,1971,,2001,1,141500
1761,27131,2,Cottage,235,1684,2071,2,1978,,2002,6,408500
1762,27115,3,Detached,417,2599,3810,3,1989,,1995,12,1191000
